id,source,referenceId,counterparty,amount,currency,date,description,type,category
B5-LDG-046,LEDGER,"SET5-PAY-2026-0810-2","Square Point",215952.00,INR,2026-11-04,"Support Fees settlement - Square Point",CREDIT,"Support Fees"
B5-LDG-047,LEDGER,"SET5-PAY-2026-0810-3","Klarna Bank AB",220657.50,INR,2026-11-07,"Project Payment settlement - Klarna Bank AB",CREDIT,"Project Payment"
B5-LDG-048,LEDGER,"SET5-PAY-2026-0810-4","PayPal Merchant",225363.00,INR,2026-11-10,"Wire Transfer settlement - PayPal Merchant",CREDIT,"Wire Transfer"
B5-LDG-049,LEDGER,"SET5-PAY-2026-0810-5","Plaid Services",226460.00,INR,2026-11-13,"Vendor Payment settlement - Plaid Services",CREDIT,"Vendor Payment"
B5-LDG-050,LEDGER,"SET5-PAY-2026-0810-1","Brex Enterprise",231165.50,INR,2026-11-16,"Services settlement - Brex Enterprise",CREDIT,"Services"
B5-LDG-051,LEDGER,"SET5-PAY-2026-0811-2","ApexFintech Corp",235871.00,INR,2026-11-19,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-052,LEDGER,"SET5-PAY-2026-0811-3","StripePay Ltd",240576.50,INR,2026-11-22,"SaaS Revenue settlement - StripePay Ltd",CREDIT,"SaaS Revenue"
B5-LDG-053,LEDGER,"SET5-PAY-2026-0811-4","Adyen Global",245282.00,INR,2026-11-25,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-054,LEDGER,"SET5-PAY-2026-0811-5","Oracle NetSuite",249987.50,INR,2026-11-01,"License Revenue settlement - Oracle NetSuite",DEBIT,"License Revenue"
B5-LDG-055,LEDGER,"SET5-PAY-2026-0811-1","SAP Cloud AG",254693.00,INR,2026-11-04,"Enterprise Contract settlement - SAP Cloud AG",CREDIT,"Enterprise Contract"
B5-LDG-056,LEDGER,"SET5-PAY-2026-0812-2","Square Point",255790.00,INR,2026-11-07,"Support Fees settlement - Square Point",CREDIT,"Support Fees"
B5-LDG-057,LEDGER,"SET5-PAY-2026-0812-3","Klarna Bank AB",260495.50,INR,2026-11-10,"Project Payment settlement - Klarna Bank AB",CREDIT,"Project Payment"
B5-LDG-058,LEDGER,"SET5-PAY-2026-0812-4","PayPal Merchant",265201.00,INR,2026-11-13,"Wire Transfer settlement - PayPal Merchant",CREDIT,"Wire Transfer"
B5-LDG-059,LEDGER,"SET5-PAY-2026-0812-5","Plaid Services",269906.50,INR,2026-11-16,"Vendor Payment settlement - Plaid Services",CREDIT,"Vendor Payment"
B5-LDG-060,LEDGER,"SET5-PAY-2026-0812-1","Brex Enterprise",274612.00,INR,2026-11-19,"Services settlement - Brex Enterprise",CREDIT,"Services"
B5-LDG-061,LEDGER,"SET5-PAY-2026-0813-2","ApexFintech Corp",279317.50,INR,2026-11-22,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-062,LEDGER,"SET5-PAY-2026-0813-3","StripePay Ltd",284023.00,INR,2026-11-25,"SaaS Revenue settlement - StripePay Ltd",CREDIT,"SaaS Revenue"
B5-LDG-063,LEDGER,"SET5-PAY-2026-0813-4","Adyen Global",285120.00,INR,2026-11-01,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-064,LEDGER,"SET5-PAY-2026-0813-5","Oracle NetSuite",289825.50,INR,2026-11-04,"License Revenue settlement - Oracle NetSuite",CREDIT,"License Revenue"
B5-LDG-065,LEDGER,"SET5-PAY-2026-0813-1","SAP Cloud AG",294531.00,INR,2026-11-07,"Enterprise Contract settlement - SAP Cloud AG",CREDIT,"Enterprise Contract"
B5-LDG-066,LEDGER,"SET5-PAY-2026-0814-2","Square Point",299236.50,INR,2026-11-10,"Support Fees settlement - Square Point",CREDIT,"Support Fees"
B5-LDG-067,LEDGER,"SET5-PAY-2026-0814-3","Klarna Bank AB",303942.00,INR,2026-11-13,"Project Payment settlement - Klarna Bank AB",CREDIT,"Project Payment"
B5-LDG-068,LEDGER,"SET5-PAY-2026-0814-4","PayPal Merchant",308647.50,INR,2026-11-16,"Wire Transfer settlement - PayPal Merchant",CREDIT,"Wire Transfer"
B5-LDG-069,LEDGER,"SET5-PAY-2026-0814-5","Plaid Services",313353.00,INR,2026-11-19,"Vendor Payment settlement - Plaid Services",CREDIT,"Vendor Payment"
B5-LDG-070,LEDGER,"SET5-PAY-2026-0814-1","Brex Enterprise",314450.00,INR,2026-11-22,"Services settlement - Brex Enterprise",CREDIT,"Services"
B5-LDG-071,LEDGER,"SET5-PAY-2026-0815-2","ApexFintech Corp",319155.50,INR,2026-11-25,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-072,LEDGER,"SET5-PAY-2026-0815-3","StripePay Ltd",323861.00,INR,2026-11-01,"SaaS Revenue settlement - StripePay Ltd",DEBIT,"SaaS Revenue"
B5-LDG-073,LEDGER,"SET5-PAY-2026-0815-4","Adyen Global",328566.50,INR,2026-11-04,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-074,LEDGER,"SET5-PAY-2026-0815-5","Oracle NetSuite",333272.00,INR,2026-11-07,"License Revenue settlement - Oracle NetSuite",CREDIT,"License Revenue"
B5-LDG-075,LEDGER,"SET5-PAY-2026-0815-1","SAP Cloud AG",337977.50,INR,2026-11-10,"Enterprise Contract settlement - SAP Cloud AG",CREDIT,"Enterprise Contract"
B5-LDG-076,LEDGER,"SET5-PAY-2026-0816-2","Square Point",342683.00,INR,2026-11-13,"Support Fees settlement - Square Point",CREDIT,"Support Fees"
B5-LDG-077,LEDGER,"SET5-PAY-2026-0816-3","Klarna Bank AB",343780.00,INR,2026-11-16,"Project Payment settlement - Klarna Bank AB",CREDIT,"Project Payment"
B5-LDG-078,LEDGER,"SET5-PAY-2026-0816-4","PayPal Merchant",348485.50,INR,2026-11-19,"Wire Transfer settlement - PayPal Merchant",CREDIT,"Wire Transfer"
B5-LDG-079,LEDGER,"SET5-PAY-2026-0816-5","Plaid Services",353191.00,INR,2026-11-22,"Vendor Payment settlement - Plaid Services",CREDIT,"Vendor Payment"
B5-LDG-080,LEDGER,"SET5-PAY-2026-0816-1","Brex Enterprise",357896.50,INR,2026-11-25,"Services settlement - Brex Enterprise",CREDIT,"Services"
B5-LDG-081,LEDGER,"SET5-PAY-2026-0817-2","ApexFintech Corp",362602.00,INR,2026-11-01,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-082,LEDGER,"SET5-PAY-2026-0817-3","StripePay Ltd",367307.50,INR,2026-11-04,"SaaS Revenue settlement - StripePay Ltd",CREDIT,"SaaS Revenue"
B5-LDG-083,LEDGER,"SET5-PAY-2026-0817-4","Adyen Global",372013.00,INR,2026-11-07,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-084,LEDGER,"SET5-PAY-2026-0817-5","Oracle NetSuite",373110.00,INR,2026-11-10,"License Revenue settlement - Oracle NetSuite",CREDIT,"License Revenue"
B5-LDG-085,LEDGER,"SET5-PAY-2026-0817-1","SAP Cloud AG",377815.50,INR,2026-11-13,"Enterprise Contract settlement - SAP Cloud AG",CREDIT,"Enterprise Contract"
B5-LDG-086,LEDGER,"SET5-PAY-2026-0818-2","Square Point",382521.00,INR,2026-11-16,"Support Fees settlement - Square Point",CREDIT,"Support Fees"
B5-LDG-087,LEDGER,"SET5-PAY-2026-0818-3","Klarna Bank AB",387226.50,INR,2026-11-19,"Project Payment settlement - Klarna Bank AB",CREDIT,"Project Payment"
B5-LDG-088,LEDGER,"SET5-PAY-2026-0818-4","PayPal Merchant",391932.00,INR,2026-11-22,"Wire Transfer settlement - PayPal Merchant",CREDIT,"Wire Transfer"
B5-LDG-089,LEDGER,"SET5-PAY-2026-0818-5","Plaid Services",396637.50,INR,2026-11-25,"Vendor Payment settlement - Plaid Services",CREDIT,"Vendor Payment"
B5-LDG-090,LEDGER,"SET5-PAY-2026-0818-1","Brex Enterprise",401343.00,INR,2026-11-01,"Services settlement - Brex Enterprise",DEBIT,"Services"
B5-LDG-091,LEDGER,"SET5-PAY-2026-0819-2","ApexFintech Corp",402440.00,INR,2026-11-04,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-092,LEDGER,"SET5-PAY-2026-0819-3","StripePay Ltd",407145.50,INR,2026-11-07,"SaaS Revenue settlement - StripePay Ltd",CREDIT,"SaaS Revenue"
B5-LDG-093,LEDGER,"SET5-PAY-2026-0819-4","Adyen Global",411851.00,INR,2026-11-10,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-094,LEDGER,"SET5-PAY-2026-0819-5","Oracle NetSuite",416556.50,INR,2026-11-13,"License Revenue settlement - Oracle NetSuite",CREDIT,"License Revenue"
B5-LDG-095,LEDGER,"SET5-PAY-2026-0819-1","SAP Cloud AG",421262.00,INR,2026-11-16,"Enterprise Contract settlement - SAP Cloud AG",CREDIT,"Enterprise Contract"
B5-LDG-096,LEDGER,"SET5-PAY-2026-0820-2","Square Point",425967.50,INR,2026-11-19,"Support Fees settlement - Square Point",CREDIT,"Support Fees"
B5-LDG-097,LEDGER,"SET5-PAY-2026-0820-3","Klarna Bank AB",430673.00,INR,2026-11-22,"Project Payment settlement - Klarna Bank AB",CREDIT,"Project Payment"
B5-LDG-098,LEDGER,"SET5-PAY-2026-0820-4","PayPal Merchant",431770.00,INR,2026-11-25,"Wire Transfer settlement - PayPal Merchant",CREDIT,"Wire Transfer"
B5-LDG-099,LEDGER,"SET5-PAY-2026-0820-5","Plaid Services",436475.50,INR,2026-11-01,"Vendor Payment settlement - Plaid Services",CREDIT,"Vendor Payment"
B5-LDG-100,LEDGER,"SET5-PAY-2026-0820-1","Brex Enterprise",441181.00,INR,2026-11-04,"Services settlement - Brex Enterprise",CREDIT,"Services"
B5-LDG-101,LEDGER,"SET5-PAY-2026-0821-2","ApexFintech Corp",445886.50,INR,2026-11-07,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-102,LEDGER,"SET5-PAY-2026-0821-3","StripePay Ltd",450592.00,INR,2026-11-10,"SaaS Revenue settlement - StripePay Ltd",CREDIT,"SaaS Revenue"
B5-LDG-103,LEDGER,"SET5-PAY-2026-0821-4","Adyen Global",455297.50,INR,2026-11-13,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-104,LEDGER,"SET5-PAY-2026-0821-5","Oracle NetSuite",460003.00,INR,2026-11-16,"License Revenue settlement - Oracle NetSuite",CREDIT,"License Revenue"
B5-LDG-105,LEDGER,"SET5-PAY-2026-0821-1","SAP Cloud AG",461100.00,INR,2026-11-19,"Enterprise Contract settlement - SAP Cloud AG",CREDIT,"Enterprise Contract"
B5-LDG-106,LEDGER,"SET5-PAY-2026-0822-2","Square Point",465805.50,INR,2026-11-22,"Support Fees settlement - Square Point",CREDIT,"Support Fees"
B5-LDG-107,LEDGER,"SET5-PAY-2026-0822-3","Klarna Bank AB",470511.00,INR,2026-11-25,"Project Payment settlement - Klarna Bank AB",CREDIT,"Project Payment"
B5-LDG-108,LEDGER,"SET5-PAY-2026-0822-4","PayPal Merchant",475216.50,INR,2026-11-01,"Wire Transfer settlement - PayPal Merchant",DEBIT,"Wire Transfer"
B5-LDG-109,LEDGER,"SET5-PAY-2026-0822-5","Plaid Services",479922.00,INR,2026-11-04,"Vendor Payment settlement - Plaid Services",CREDIT,"Vendor Payment"
B5-LDG-110,LEDGER,"SET5-PAY-2026-0822-1","Brex Enterprise",484627.50,INR,2026-11-07,"Services settlement - Brex Enterprise",CREDIT,"Services"
B5-LDG-111,LEDGER,"SET5-PAY-2026-0823-2","ApexFintech Corp",489333.00,INR,2026-11-10,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-112,LEDGER,"SET5-PAY-2026-0823-3","StripePay Ltd",490430.00,INR,2026-11-13,"SaaS Revenue settlement - StripePay Ltd",CREDIT,"SaaS Revenue"
B5-LDG-113,LEDGER,"SET5-PAY-2026-0823-4","Adyen Global",495135.50,INR,2026-11-16,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-114,LEDGER,"SET5-PAY-2026-0823-5","Oracle NetSuite",499841.00,INR,2026-11-19,"License Revenue settlement - Oracle NetSuite",CREDIT,"License Revenue"
B5-LDG-115,LEDGER,"SET5-PAY-2026-0823-1","SAP Cloud AG",504546.50,INR,2026-11-22,"Enterprise Contract settlement - SAP Cloud AG",CREDIT,"Enterprise Contract"
B5-LDG-116,LEDGER,"SET5-PAY-2026-0824-2","Square Point",509252.00,INR,2026-11-25,"Support Fees settlement - Square Point",CREDIT,"Support Fees"
B5-LDG-117,LEDGER,"SET5-PAY-2026-0824-3","Klarna Bank AB",513957.50,INR,2026-11-01,"Project Payment settlement - Klarna Bank AB",CREDIT,"Project Payment"
B5-LDG-118,LEDGER,"SET5-PAY-2026-0824-4","PayPal Merchant",518663.00,INR,2026-11-04,"Wire Transfer settlement - PayPal Merchant",CREDIT,"Wire Transfer"
B5-LDG-119,LEDGER,"SET5-PAY-2026-0824-5","Plaid Services",519760.00,INR,2026-11-07,"Vendor Payment settlement - Plaid Services",CREDIT,"Vendor Payment"
B5-LDG-120,LEDGER,"SET5-PAY-2026-0824-1","Brex Enterprise",524465.50,INR,2026-11-10,"Services settlement - Brex Enterprise",CREDIT,"Services"
B5-LDG-121,LEDGER,"SET5-PAY-2026-0825-2","ApexFintech Corp",529171.00,INR,2026-11-13,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-122,LEDGER,"SET5-PAY-2026-0825-3","StripePay Ltd",533876.50,INR,2026-11-16,"SaaS Revenue settlement - StripePay Ltd",CREDIT,"SaaS Revenue"
B5-LDG-123,LEDGER,"SET5-PAY-2026-0825-4","Adyen Global",538582.00,INR,2026-11-19,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-124,LEDGER,"SET5-PAY-2026-0825-5","Oracle NetSuite",543287.50,INR,2026-11-22,"License Revenue settlement - Oracle NetSuite",CREDIT,"License Revenue"
B5-LDG-125,LEDGER,"SET5-PAY-2026-0825-1","SAP Cloud AG",547993.00,INR,2026-11-25,"Enterprise Contract settlement - SAP Cloud AG",CREDIT,"Enterprise Contract"
B5-LDG-126,LEDGER,"SET5-PAY-2026-0826-2","Square Point",549090.00,INR,2026-11-01,"Support Fees settlement - Square Point",DEBIT,"Support Fees"
B5-LDG-127,LEDGER,"SET5-PAY-2026-0826-3","Klarna Bank AB",553795.50,INR,2026-11-04,"Project Payment settlement - Klarna Bank AB",CREDIT,"Project Payment"
B5-LDG-128,LEDGER,"SET5-PAY-2026-0826-4","PayPal Merchant",558501.00,INR,2026-11-07,"Wire Transfer settlement - PayPal Merchant",CREDIT,"Wire Transfer"
B5-LDG-129,LEDGER,"SET5-PAY-2026-0826-5","Plaid Services",563206.50,INR,2026-11-10,"Vendor Payment settlement - Plaid Services",CREDIT,"Vendor Payment"
B5-LDG-130,LEDGER,"SET5-PAY-2026-0826-1","Brex Enterprise",17912.00,INR,2026-11-13,"Services settlement - Brex Enterprise",CREDIT,"Services"
B5-LDG-131,LEDGER,"SET5-PAY-2026-0827-2","ApexFintech Corp",22617.50,INR,2026-11-16,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-132,LEDGER,"SET5-PAY-2026-0827-3","StripePay Ltd",27323.00,INR,2026-11-19,"SaaS Revenue settlement - StripePay Ltd",CREDIT,"SaaS Revenue"
B5-LDG-133,LEDGER,"SET5-PAY-2026-0827-4","Adyen Global",28420.00,INR,2026-11-22,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-134,LEDGER,"SET5-PAY-2026-0827-5","Oracle NetSuite",33125.50,INR,2026-11-25,"License Revenue settlement - Oracle NetSuite",CREDIT,"License Revenue"
B5-LDG-135,LEDGER,"SET5-PAY-2026-0827-1","SAP Cloud AG",37831.00,INR,2026-11-01,"Enterprise Contract settlement - SAP Cloud AG",CREDIT,"Enterprise Contract"
B5-LDG-136,LEDGER,"SET5-PAY-2026-0828-2","Square Point",42536.50,INR,2026-11-04,"Support Fees settlement - Square Point",CREDIT,"Support Fees"
B5-LDG-137,LEDGER,"SET5-PAY-2026-0828-3","Klarna Bank AB",47242.00,INR,2026-11-07,"Project Payment settlement - Klarna Bank AB",CREDIT,"Project Payment"
B5-LDG-138,LEDGER,"SET5-PAY-2026-0828-4","PayPal Merchant",51947.50,INR,2026-11-10,"Wire Transfer settlement - PayPal Merchant",CREDIT,"Wire Transfer"
B5-LDG-139,LEDGER,"SET5-PAY-2026-0828-5","Plaid Services",56653.00,INR,2026-11-13,"Vendor Payment settlement - Plaid Services",CREDIT,"Vendor Payment"
B5-LDG-140,LEDGER,"SET5-PAY-2026-0828-1","Brex Enterprise",57750.00,INR,2026-11-16,"Services settlement - Brex Enterprise",CREDIT,"Services"
B5-LDG-141,LEDGER,"SET5-PAY-2026-0829-2","ApexFintech Corp",62455.50,INR,2026-11-19,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-142,LEDGER,"SET5-PAY-2026-0829-3","StripePay Ltd",67161.00,INR,2026-11-22,"SaaS Revenue settlement - StripePay Ltd",CREDIT,"SaaS Revenue"
B5-LDG-143,LEDGER,"SET5-PAY-2026-0829-4","Adyen Global",71866.50,INR,2026-11-25,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-144,LEDGER,"SET5-PAY-2026-0829-5","Oracle NetSuite",76572.00,INR,2026-11-01,"License Revenue settlement - Oracle NetSuite",DEBIT,"License Revenue"
B5-LDG-145,LEDGER,"SET5-PAY-2026-0829-1","SAP Cloud AG",81277.50,INR,2026-11-04,"Enterprise Contract settlement - SAP Cloud AG",CREDIT,"Enterprise Contract"
B5-LDG-146,LEDGER,"SET5-PAY-2026-0830-2","Square Point",85983.00,INR,2026-11-07,"Support Fees settlement - Square Point",CREDIT,"Support Fees"
B5-LDG-147,LEDGER,"SET5-PAY-2026-0830-3","Klarna Bank AB",87080.00,INR,2026-11-10,"Project Payment settlement - Klarna Bank AB",CREDIT,"Project Payment"
B5-LDG-148,LEDGER,"SET5-PAY-2026-0830-4","PayPal Merchant",91785.50,INR,2026-11-13,"Wire Transfer settlement - PayPal Merchant",CREDIT,"Wire Transfer"
B5-LDG-149,LEDGER,"SET5-PAY-2026-0830-5","Plaid Services",96491.00,INR,2026-11-16,"Vendor Payment settlement - Plaid Services",CREDIT,"Vendor Payment"
B5-LDG-150,LEDGER,"SET5-PAY-2026-0830-1","Brex Enterprise",101196.50,INR,2026-11-19,"Services settlement - Brex Enterprise",CREDIT,"Services"
B5-LDG-151,LEDGER,"SET5-PAY-2026-0831-2","ApexFintech Corp",105902.00,INR,2026-11-22,"Accounts Receivable settlement - ApexFintech Corp",CREDIT,"Accounts Receivable"
B5-LDG-152,LEDGER,"SET5-PAY-2026-0831-3","StripePay Ltd",110607.50,INR,2026-11-25,"SaaS Revenue settlement - StripePay Ltd",CREDIT,"SaaS Revenue"
B5-LDG-153,LEDGER,"SET5-PAY-2026-0831-4","Adyen Global",115313.00,INR,2026-11-01,"Consulting settlement - Adyen Global",CREDIT,"Consulting"
B5-LDG-154,LEDGER,"SET5-PAY-2026-0831-5","Oracle NetSuite",116410.00,INR,2026-11-04,"License Revenue settlement - Oracle NetSuite",CREDIT,"License Revenue"
